osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
12630561411,Nelumpokuna,Nelumpokuna,,,stop,,7.4754486,79.8451887
12630561412,Kudawewa,Kudawewa,,,stop,,7.4622291,79.8530839
12630561413,Walahapitiya,Walahapitiya,,,stop,,7.4394333,79.8590658
12630561414,Nattandiya,Nattandiya,,,stop,,7.4143264,79.8660524
12630567654,Chilaw,Chilaw,,,stop,,7.5757945,79.7910529
12630567655,Kakkapalliya,Kakkapalliya,,,stop,,7.5328363,79.8227752
12630579981,Mundalama,Mundalama,,,stop,,7.7976602,79.825518
12630579982,Kiriyankalli,Kiriyankalli,,,stop,,7.7571751,79.8281894
12630589716,Erukkalampiddy,Erukkalampiddy,,,stop,,7.9615826,79.8299546
12630589717,Madurankuli,Madurankuli,,,stop,,7.9020501,79.8206562
12630594815,Puttalam,Puttalam,,,stop,,8.0226619,79.8379261
12630594816,Puttalam,Puttalam,,,stop,,8.0227143,79.8377744
12630598032,Battulu Oya,Battulu Oya,,,stop,,7.7271726,79.8315677
12630598033,Bangadeniya,Bangadeniya,,,stop,,7.6272658,79.8285404
12630598034,Manuwangama,Manuwangama,,,stop,,7.6006658,79.8274111
12630611017,Periyanagavillu,Periyanagavillu,,,stop,,8.2283739,79.866713
12630611018,Karadipuwal,Karadipuwal,,,stop,,8.135391,79.8640937
12633515282,Wadurawa,Wadurawa,,,stop,,7.167817,80.0661299
12633515283,Veyangoda,Veyangoda,,,stop,,7.1527348,80.0587979
12633515284,Veyangoda,Veyangoda,,,stop,,7.1528519,80.0585914
12633520281,Batuwatta,Batuwatta,,,stop,,7.0551316,79.9371438
12633520282,Batuwatta,Batuwatta,,,stop,,7.0551192,79.9371601
12633520283,Walpola,Walpola,,,stop,,7.0472646,79.9311425
12633570533,Magalegoda,Magalegoda,,,stop,,7.1339492,80.0362658
12633570534,Magalegoda,Magalegoda,,,stop,,7.1339075,80.0362255
12633570535,Bemmulla,Bemmulla,,,stop,,7.1224534,80.0204066
12633570536,Bemmulla,Bemmulla,,,stop,,7.1224351,80.0204435
12633573265,Ganemulla,Ganemulla,,,stop,,7.0684711,79.9607156
12633573266,Bulugahagoda,Bulugahagoda,,,stop,,7.0656329,79.9453498
12633580524,Botale,Botale,,,stop,,7.2566703,80.1532271
12633580525,Wilwatta,Wilwatta,,,stop,,7.2563683,80.1353958
12633584920,Daraluwa,Daraluwa,,,stop,,7.1070771,80.0105005
12633584921,Daraluwa,Daraluwa,,,stop,,7.1071344,80.0103872
12633584922,Gampaha,Gampaha,,,stop,,7.0936277,79.9934982
12633584923,Gampaha,Gampaha,,,stop,,7.0936062,79.993535
12633584924,Gampaha,Gampaha,,,stop,,7.0935721,79.9935943
12633584925,Gampaha,Gampaha,,,stop,,7.0935428,79.9936298
12633598496,Heendeniya-Pattigoda,Heendeniya-Pattigoda,,,stop,,7.1412061,80.0471063
12633598497,Heendeniya-Pattigoda,Heendeniya-Pattigoda,,,stop,,7.1411623,80.0471199
12633602720,Bujjomuwa,Bujjomuwa,,,stop,,7.273237,80.2105781
12633602721,Yaththalgoda,Yaththalgoda,,,stop,,7.2703688,80.1943669
12633602722,Ambepussa,Ambepussa,,,stop,,7.2560372,80.1693714
12633608549,Mirigama,Mirigama,,,stop,,7.2425525,80.1266219
12633608550,Mirigama,Mirigama,,,stop,,7.2426271,80.1264567
12633608551,Ganegoda,Ganegoda,,,station,,7.2129312,80.1052505
12633608552,Ganegoda,Ganegoda,,,stop,,7.2129688,80.1051879
12633608553,Pallewala,Pallewala,,,stop,,7.1983772,80.0898409
12633608554,Keenawala,Keenawala,,,stop,,7.1854014,80.0744379
12633612268,Polgahawela Junction,Polgahawela Junction,,,stop,,7.3310626,80.3009827
12633612269,Polgahawela Junction,Polgahawela Junction,,,stop,,7.3309422,80.3010361
12633612270,Polgahawela Junction,Polgahawela Junction,,,stop,,7.3309188,80.3010413
